base_original;distrito;Provincia;seccion_electoral;MUNICIPIO_mapa;eleccion;Partido;Tipo_Voto;votos;Tipo_elección
BARADERO;BARADERO;Provincia de Buenos Aires;Segunda;Baradero;2025;La Libertad Avanza;Positivo;8735;Concejales Titulares
BARADERO;BARADERO;Provincia de Buenos Aires;Segunda;Baradero;2025;Fuerza Patria;Positivo;8703;Concejales Titulares
BARADERO;BARADERO;Provincia de Buenos Aires;Segunda;Baradero;2025;Nulo;Nulo;351;Concejales Titulares
BARADERO;BARADERO;Provincia de Buenos Aires;Segunda;Baradero;2025;Otras fuerzas;Positivo;2752;Concejales Titulares
BARADERO;BARADERO;Provincia de Buenos Aires;Segunda;Baradero;2025;Frente de Izquierda;Positivo;800;Concejales Titulares
BARADERO;BARADERO;Provincia de Buenos Aires;Segunda;Baradero;2025;Potencia;Positivo;0;Concejales Titulares
BARADERO;BARADERO;Provincia de Buenos Aires;Segunda;Baradero;2025;En Blanco;En Blanco;1299;Concejales Titulares
BENITO JUAREZ;BENITO JUAREZ;Provincia de Buenos Aires;Sexta;Benito Juárez;2025;Fuerza Patria;Positivo;5066;Concejales Titulares
BENITO JUAREZ;BENITO JUAREZ;Provincia de Buenos Aires;Sexta;Benito Juárez;2025;Nulo;Nulo;161;Concejales Titulares
BENITO JUAREZ;BENITO JUAREZ;Provincia de Buenos Aires;Sexta;Benito Juárez;2025;En Blanco;En Blanco;705;Concejales Titulares
BENITO JUAREZ;BENITO JUAREZ;Provincia de Buenos Aires;Sexta;Benito Juárez;2025;La Libertad Avanza;Positivo;5625;Concejales Titulares
BENITO JUAREZ;BENITO JUAREZ;Provincia de Buenos Aires;Sexta;Benito Juárez;2025;Somos;Positivo;1379;Concejales Titulares
BENITO JUAREZ;BENITO JUAREZ;Provincia de Buenos Aires;Sexta;Benito Juárez;2025;Frente de Izquierda;Positivo;0;Concejales Titulares
BERAZATEGUI;BERAZATEGUI;Provincia de Buenos Aires;Tercera;Berazategui;2025;Potencia;Positivo;7885;Concejales Titulares
BERAZATEGUI;BERAZATEGUI;Provincia de Buenos Aires;Tercera;Berazategui;2025;La Libertad Avanza;Positivo;74235;Concejales Titulares
BERAZATEGUI;BERAZATEGUI;Provincia de Buenos Aires;Tercera;Berazategui;2025;Nulo;Nulo;1813;Concejales Titulares
BERAZATEGUI;BERAZATEGUI;Provincia de Buenos Aires;Tercera;Berazategui;2025;Fuerza Patria;Positivo;90714;Concejales Titulares
BERAZATEGUI;BERAZATEGUI;Provincia de Buenos Aires;Tercera;Berazategui;2025;Somos;Positivo;8501;Concejales Titulares
BERAZATEGUI;BERAZATEGUI;Provincia de Buenos Aires;Tercera;Berazategui;2025;Frente de Izquierda;Positivo;14811;Concejales Titulares
BERAZATEGUI;BERAZATEGUI;Provincia de Buenos Aires;Tercera;Berazategui;2025;En Blanco;En Blanco;5523;Concejales Titulares
BERISSO;BERISSO;Provincia de Buenos Aires;Tercera;Berisso;2025;Nulo;Nulo;528;Concejales Titulares
BERISSO;BERISSO;Provincia de Buenos Aires;Tercera;Berisso;2025;La Libertad Avanza;Positivo;24286;Concejales Titulares
BERISSO;BERISSO;Provincia de Buenos Aires;Tercera;Berisso;2025;Somos;Positivo;3721;Concejales Titulares
BERISSO;BERISSO;Provincia de Buenos Aires;Tercera;Berisso;2025;Frente de Izquierda;Positivo;5423;Concejales Titulares
BERISSO;BERISSO;Provincia de Buenos Aires;Tercera;Berisso;2025;En Blanco;En Blanco;1765;Concejales Titulares
BERISSO;BERISSO;Provincia de Buenos Aires;Tercera;Berisso;2025;Potencia;Positivo;1575;Concejales Titulares
BERISSO;BERISSO;Provincia de Buenos Aires;Tercera;Berisso;2025;Fuerza Patria;Positivo;24709;Concejales Titulares
BOLIVAR;BOLIVAR;Provincia de Buenos Aires;Septima;Bolívar;2025;Otras fuerzas;Positivo;539;Concejales Titulares
BOLIVAR;BOLIVAR;Provincia de Buenos Aires;Septima;Bolívar;2025;Frente de Izquierda;Positivo;1422;Concejales Titulares
BOLIVAR;BOLIVAR;Provincia de Buenos Aires;Septima;Bolívar;2025;La Libertad Avanza;Positivo;10865;Concejales Titulares
BOLIVAR;BOLIVAR;Provincia de Buenos Aires;Septima;Bolívar;2025;Somos;Positivo;338;Concejales Titulares
BOLIVAR;BOLIVAR;Provincia de Buenos Aires;Septima;Bolívar;2025;En Blanco;En Blanco;863;Concejales Titulares
BOLIVAR;BOLIVAR;Provincia de Buenos Aires;Septima;Bolívar;2025;Fuerza Patria;Positivo;8658;Concejales Titulares
BOLIVAR;BOLIVAR;Provincia de Buenos Aires;Septima;Bolívar;2025;Potencia;Positivo;225;Concejales Titulares
BOLIVAR;BOLIVAR;Provincia de Buenos Aires;Septima;Bolívar;2025;Nulo;Nulo;324;Concejales Titulares
BRAGADO;BRAGADO;Provincia de Buenos Aires;Cuarta;Bragado;2025;Frente de Izquierda;Positivo;0;Concejales Titulares
