base_original;distrito;Provincia;seccion_electoral;MUNICIPIO_mapa;eleccion;Partido;Tipo_Voto;votos;Tipo_elección
BRAGADO;BRAGADO;Provincia de Buenos Aires;Cuarta;Bragado;2025;En Blanco;En Blanco;2730;Senadores Provinciales
BRANDSEN;BRANDSEN;Provincia de Buenos Aires;Tercera;Brandsen;2025;Frente de Izquierda;Positivo;568;Diputados Provinciales
BRANDSEN;BRANDSEN;Provincia de Buenos Aires;Tercera;Brandsen;2025;Fuerza Patria;Positivo;6550;Diputados Provinciales
BRANDSEN;BRANDSEN;Provincia de Buenos Aires;Tercera;Brandsen;2025;Nulo;Nulo;258;Diputados Provinciales
BRANDSEN;BRANDSEN;Provincia de Buenos Aires;Tercera;Brandsen;2025;Somos;Positivo;1009;Diputados Provinciales
BRANDSEN;BRANDSEN;Provincia de Buenos Aires;Tercera;Brandsen;2025;En Blanco;En Blanco;1128;Diputados Provinciales
BRANDSEN;BRANDSEN;Provincia de Buenos Aires;Tercera;Brandsen;2025;La Libertad Avanza;Positivo;8830;Diputados Provinciales
BRANDSEN;BRANDSEN;Provincia de Buenos Aires;Tercera;Brandsen;2025;Potencia;Positivo;562;Diputados Provinciales
BRANDSEN;BRANDSEN;Provincia de Buenos Aires;Tercera;Brandsen;2025;Otras fuerzas;Positivo;0;Diputados Provinciales
CAMPANA;CAMPANA;Provincia de Buenos Aires;Primera;Campana;2025;Frente de Izquierda;Positivo;3159;Senadores Provinciales
CAMPANA;CAMPANA;Provincia de Buenos Aires;Primera;Campana;2025;La Libertad Avanza;Positivo;34615;Senadores Provinciales
CAMPANA;CAMPANA;Provincia de Buenos Aires;Primera;Campana;2025;En Blanco;En Blanco;3051;Senadores Provinciales
CAMPANA;CAMPANA;Provincia de Buenos Aires;Primera;Campana;2025;Fuerza Patria;Positivo;17833;Senadores Provinciales
CAMPANA;CAMPANA;Provincia de Buenos Aires;Primera;Campana;2025;Potencia;Positivo;1529;Senadores Provinciales
CAMPANA;CAMPANA;Provincia de Buenos Aires;Primera;Campana;2025;Otras fuerzas;Positivo;0;Senadores Provinciales
CAMPANA;CAMPANA;Provincia de Buenos Aires;Primera;Campana;2025;Nulo;Nulo;633;Senadores Provinciales
CAMPANA;CAMPANA;Provincia de Buenos Aires;Primera;Campana;2025;Somos;Positivo;1705;Senadores Provinciales
CAPITAN SARMIENTO;CAPITAN SARMIENTO;Provincia de Buenos Aires;Segunda;Capitán Sarmiento;2025;En Blanco;En Blanco;1462;Diputados Provinciales
CAPITAN SARMIENTO;CAPITAN SARMIENTO;Provincia de Buenos Aires;Segunda;Capitán Sarmiento;2025;Potencia;Positivo;156;Diputados Provinciales
CAPITAN SARMIENTO;CAPITAN SARMIENTO;Provincia de Buenos Aires;Segunda;Capitán Sarmiento;2025;Frente de Izquierda;Positivo;207;Diputados Provinciales
CAPITAN SARMIENTO;CAPITAN SARMIENTO;Provincia de Buenos Aires;Segunda;Capitán Sarmiento;2025;Otras fuerzas;Positivo;618;Diputados Provinciales
CAPITAN SARMIENTO;CAPITAN SARMIENTO;Provincia de Buenos Aires;Segunda;Capitán Sarmiento;2025;La Libertad Avanza;Positivo;5575;Diputados Provinciales
CAPITAN SARMIENTO;CAPITAN SARMIENTO;Provincia de Buenos Aires;Segunda;Capitán Sarmiento;2025;Nulo;Nulo;49;Diputados Provinciales
CAPITAN SARMIENTO;CAPITAN SARMIENTO;Provincia de Buenos Aires;Segunda;Capitán Sarmiento;2025;Fuerza Patria;Positivo;1753;Diputados Provinciales
CARLOS CASARES;CARLOS CASARES;Provincia de Buenos Aires;Cuarta;Carlos Casares;2025;Somos;Positivo;746;Senadores Provinciales
CARLOS CASARES;CARLOS CASARES;Provincia de Buenos Aires;Cuarta;Carlos Casares;2025;La Libertad Avanza;Positivo;6759;Senadores Provinciales
CARLOS CASARES;CARLOS CASARES;Provincia de Buenos Aires;Cuarta;Carlos Casares;2025;En Blanco;En Blanco;606;Senadores Provinciales
CARLOS CASARES;CARLOS CASARES;Provincia de Buenos Aires;Cuarta;Carlos Casares;2025;Fuerza Patria;Positivo;6314;Senadores Provinciales
CARLOS CASARES;CARLOS CASARES;Provincia de Buenos Aires;Cuarta;Carlos Casares;2025;Frente de Izquierda;Positivo;387;Senadores Provinciales
CARLOS CASARES;CARLOS CASARES;Provincia de Buenos Aires;Cuarta;Carlos Casares;2025;Nulo;Nulo;29;Senadores Provinciales
CARLOS TEJEDOR;CARLOS TEJEDOR;Provincia de Buenos Aires;Cuarta;Carlos Tejedor;2025;La Libertad Avanza;Positivo;4339;Senadores Provinciales
CARLOS TEJEDOR;CARLOS TEJEDOR;Provincia de Buenos Aires;Cuarta;Carlos Tejedor;2025;Somos;Positivo;133;Senadores Provinciales
CARLOS TEJEDOR;CARLOS TEJEDOR;Provincia de Buenos Aires;Cuarta;Carlos Tejedor;2025;Fuerza Patria;Positivo;3249;Senadores Provinciales
CARLOS TEJEDOR;CARLOS TEJEDOR;Provincia de Buenos Aires;Cuarta;Carlos Tejedor;2025;En Blanco;En Blanco;351;Senadores Provinciales
CARLOS TEJEDOR;CARLOS TEJEDOR;Provincia de Buenos Aires;Cuarta;Carlos Tejedor;2025;Nulo;Nulo;39;Senadores Provinciales
CARLOS TEJEDOR;CARLOS TEJEDOR;Provincia de Buenos Aires;Cuarta;Carlos Tejedor;2025;Frente de Izquierda;Positivo;178;Senadores Provinciales
CARMEN DE ARECO;CARMEN DE ARECO;Provincia de Buenos Aires;Segunda;Carmen de Areco;2025;En Blanco;En Blanco;1999;Diputados Provinciales
CARMEN DE ARECO;CARMEN DE ARECO;Provincia de Buenos Aires;Segunda;Carmen de Areco;2025;Otras fuerzas;Positivo;171;Diputados Provinciales
CARMEN DE ARECO;CARMEN DE ARECO;Provincia de Buenos Aires;Segunda;Carmen de Areco;2025;Fuerza Patria;Positivo;3336;Diputados Provinciales
CARMEN DE ARECO;CARMEN DE ARECO;Provincia de Buenos Aires;Segunda;Carmen de Areco;2025;Nulo;Nulo;50;Diputados Provinciales
CARMEN DE ARECO;CARMEN DE ARECO;Provincia de Buenos Aires;Segunda;Carmen de Areco;2025;Frente de Izquierda;Positivo;184;Diputados Provinciales
CARMEN DE ARECO;CARMEN DE ARECO;Provincia de Buenos Aires;Segunda;Carmen de Areco;2025;La Libertad Avanza;Positivo;4760;Diputados Provinciales
CARMEN DE ARECO;CARMEN DE ARECO;Provincia de Buenos Aires;Segunda;Carmen de Areco;2025;Potencia;Positivo;90;Diputados Provinciales
CASTELLI;CASTELLI;Provincia de Buenos Aires;Quinta;Castelli;2025;Frente de Izquierda;Positivo;88;Senadores Provinciales
CASTELLI;CASTELLI;Provincia de Buenos Aires;Quinta;Castelli;2025;Somos;Positivo;42;Senadores Provinciales
CASTELLI;CASTELLI;Provincia de Buenos Aires;Quinta;Castelli;2025;Fuerza Patria;Positivo;2867;Senadores Provinciales
CASTELLI;CASTELLI;Provincia de Buenos Aires;Quinta;Castelli;2025;La Libertad Avanza;Positivo;3070;Senadores Provinciales
CASTELLI;CASTELLI;Provincia de Buenos Aires;Quinta;Castelli;2025;En Blanco;En Blanco;264;Senadores Provinciales
CASTELLI;CASTELLI;Provincia de Buenos Aires;Quinta;Castelli;2025;Nulo;Nulo;44;Senadores Provinciales
CAÑUELAS;CAÑUELAS;Provincia de Buenos Aires;Tercera;Cañuelas;2025;Somos;Positivo;1484;Diputados Provinciales
CAÑUELAS;CAÑUELAS;Provincia de Buenos Aires;Tercera;Cañuelas;2025;Nulo;Nulo;313;Diputados Provinciales
CAÑUELAS;CAÑUELAS;Provincia de Buenos Aires;Tercera;Cañuelas;2025;En Blanco;En Blanco;1947;Diputados Provinciales
CAÑUELAS;CAÑUELAS;Provincia de Buenos Aires;Tercera;Cañuelas;2025;La Libertad Avanza;Positivo;15575;Diputados Provinciales
CAÑUELAS;CAÑUELAS;Provincia de Buenos Aires;Tercera;Cañuelas;2025;Potencia;Positivo;701;Diputados Provinciales
